서비스기간,,,3일(최소구동일자),히든 접수시트,,,,,,,,,,,,
AS,,,AS 불가,,,,,,,,,,,,,
당일 구동 오픈시간,,,오후 1시까지,주말 등록 x    ,,,,,,,,,,,,
익일 구동 오픈시간,,,오후 7시까지,,,,,,,,,,,,,
작성일,시작일,종료일,메인 키워드,플레이스명,"전체참여인원
(입력X)",일 참여인원,"일 수
(입력X)",플레이스URL,MID,상품종류선택,공란,금액(35원),금액(부포),"정산유무
(입력x)","정산유무
(입력x)",비고
2025-11-07,2025-11-08,2025-11-14,천호역 맛집,뼈화당 천호본점,"1,400",200,7,https://m.place.naver.com/restaurant/2037306708,2037306708,유입,,,,정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-11-17,2025-11-18,2025-11-24,수원역 맛집,봉자막창 수원역점,"2,100",300,7,https://m.place.naver.com/restaurant/2047453115/home,2047453115,유입,,"₩73,500","₩80,850",정산완료,등록완료,
2025-11-17,2025-11-18,2025-11-24,마곡역 맛집,돈카츠인정,"2,100",300,7,https://m.place.naver.com/restaurant/1596131027/home?entry=pll,1596131027,유입,,"₩73,500","₩80,850",정산완료,등록완료,
2025-11-17,2025-11-18,2025-11-24,동대문 맛집,Porjec D,"2,100",300,7,https://m.place.naver.com/restaurant/36073217/home?entry=plt,36073217,유입,,"₩73,500","₩80,850",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-11-19,2025-11-20,2025-11-26,압구정 바,하일로,700,100,7,https://m.place.naver.com/place/1409613427/home,1409613427,유입,,"₩24,500","₩26,950",정산완료,등록완료,
2025-11-19,2025-11-20,2025-11-26,강남 카페,마르케,"1,400",200,7,https://m.place.naver.com/place/1374995918/home,1374995918,유입,,"₩49,000","₩53,900",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-11-21,2025-11-22,2025-11-28,구래동 맛집,뻥쟁이네 구래동점,"2,100",300,7,https://m.place.naver.com/restaurant/1029063503,1029063503,유입,,"₩73,500","₩80,850",정산완료,등록완료,
2025-11-21,2025-11-22,2025-11-28,천호 맛집,메종 드 플레터 스타시티 서울 레스토랑,"2,100",300,7,https://m.place.naver.com/restaurant/267802526/home?entry=pll,267802526,유입,,"₩73,500","₩80,850",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2025-11-25,2025-11-26,2025-12-02,공릉 맛집,하노이별 공릉점,700,100,7,https://m.place.naver.com/restaurant/36399674/home,36399674,유입,,"₩24,500","₩26,950",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
