 ,,,,,,,,,,,,,,,,,,,,,,
,TODAY,2026. 1. 12,시트 이용 주의사항,,,,,,거래 조건,,,,,,,,구분,단가,미수 (부가세포함),,,
,"· 시작일: 접수일 다음 날 자정부터 시작합니다.
· 마감일: 실제 마감일 이후 다음 날 자정에 마감합니다.(실제 마감일 +1일 00시 마감)
접수 방식 : 선입금 후 접수 진행 입니다.(미입금시 접수 x)
· 주의사항: 기입된 정보의 오류로 인해 발생하는 문제에 대해서는 책임을 지지 않습니다.",,,,,,,,"최소 구동 기간 : 3일
최대 구동 기간 30일
중단 및 환불: 중단가능/환불 3일치빼고가능
주문 마감 : 평일 17:00 (익일 구동)",,,,,,,,유입,23,"203,671",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,저장,35,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,NO.,담당자,대행사,상품,접수일,MID,플레이스명 (업체명),작업키워드 (5위내키워드),요청량,시작일,마감일,작업일,총수량,플레이스 url,특이사항,페이백,정산액(포함),정산,세팅,검수자,,
,1,,,유입,7/11/2025,1029063503,구래동 뻥쟁이네,구래동 삼겹살,50,25. 7. 12.,25. 7. 19.,1/6/1900,350,https://m.place.naver.com/place/1029063503,,FALSE,3/29/1924,,FALSE,,,https://m.place.naver.com/place/
,2,,,유입,7/11/2025,1029063503,구래동 뻥쟁이네,구래동 고기집,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1029063503,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,3,,,유입,7/11/2025,1029063503,구래동 뻥쟁이네,구래역 고기집,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1029063503,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,4,,,유입,7/11/2025,1029063503,구래동 뻥쟁이네,구래역 삼겹살,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1029063503,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,5,,,유입,7/11/2025,465407558,뻥쟁이네 신중동점,신중동역 삼겹살,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/465407558,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,6,,,유입,7/11/2025,465407558,뻥쟁이네 신중동점,신중동역 고기집,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/465407558,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,7,,,유입,7/11/2025,465407558,뻥쟁이네 신중동점,신중동고기집,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/465407558,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,8,,,유입,7/11/2025,465407558,뻥쟁이네 신중동점,부천 삼겹살,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/465407558,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,9,,,유입,7/11/2025,1814512864,야키토리 리을리을,신중동역 야키토리,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1814512864,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,10,,,유입,7/11/2025,1814512864,야키토리 리을리을,부천 야키토리 술집,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1814512864,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,11,,,유입,7/11/2025,2064392403,오월의 꽃수저,신동 브런치,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/2064392403,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,12,,,유입,7/11/2025,2064392403,오월의 꽃수저,신동카페거리 파스타,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/2064392403,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,13,,,유입,7/11/2025,35215728,니뽕내뽕 천안신부점,신부동 짬뽕,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/35215728,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,14,,,유입,7/11/2025,35215728,니뽕내뽕 천안신부점,신부동 짜장면,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/35215728,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,15,,,유입,7/11/2025,1770334939,거복이식당,회기 고기집,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1770334939,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,16,,,유입,7/11/2025,1770334939,거복이식당,회기역 고기집,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1770334939,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,17,,,유입,7/11/2025,1317463665,마츠도 서울역점,서울역 일식라멘,50,25. 7. 12.,25. 7. 19.,7,350,https://m.place.naver.com/place/1317463665,,FALSE,"8,855",,FALSE,,,https://m.place.naver.com/place/
,18,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
